"Временска ознака","Pol:","Da li ste student?","Ukoliko ste student, koliko ESPB ste položili do sada?","Naziv fakulteta:","Koliko dugo se bavite programiranjem?","Koliko često učite nove programske jezike?","Da li ste upoznati sa konceptom programskih paradigmi?","U kom kontekstu ste učili novi programski jezik?","Koliko vam je bilo zahtevno prilagoditi se novom programskom jeziku:","Razumevanje sintakse:","Promena programske paradigme:","Razumevanje sistema tipova:","Alati i razvojno okruženje:","Biblioteke i ekosistem:","Kvalitet ili dostupnost dokumentacije:","U kojoj meri je vaše prethodno programsko iskustvo pomoglo pri učenju novog jezika:","Koje strategije ste koristili prilikom učenja novog jezika?","Koje strategija Vam se pokazala kao najefikasnija?","U kojoj meri smatrate da Vam je prethodno znanje iz drugih srodnih programskih jezika pomoglo pri učenju novog?","Koje osobine jezika najviše ubrzavaju proces učenja?","Koju biste strategiju ili savet preporučili studentima koji tek započinju učenje novog jezika?","Šta Vam najviše pomaže da se brže prilagodite novom programskom jeziku?","Komentar:"
"2025/12/17 7:10:15 PM CET","Ženski","Da","61-120","Matematički fakultet","3-4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Samostalno učenje","3","3","4","3","3","3","2","4","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Čitanje tuđeg koda","Male samostalne vežbe","4","Poznavanje odgovarajuće  programske paradigme;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija;Velika zajednica","Kucanje, kucanje i kucanje","",""
"2025/12/17 7:11:16 PM CET","Ženski","Da","121-180","Matematički fakultet","3-4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Samostalno učenje","2","2","2","2","1","3","3","5","Male samostalne vežbe;Čitanje tuđeg koda;Knjige i skripte","Male samostalne vežbe","5","Poznavanje odgovarajuće  programske paradigme;Jednostavna sintaksa;Sličnost sa poznatim jezicima","Da budu strpljivi i da što više koda kucaju","Razumevanje zašto nešto funkcioniše na način na koji funkcioniše umesto samo slepog prihvatanja",""
"2025/12/17 7:12:35 PM CET","Ženski","Da","241-300","Matematičku fakultet","Manje od 1 godine","Retko (jednom u nekoliko godina)","Da","Samostalno učenje;Projekat / praksa;Posao","2","2","2","3","2","1","1","4","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Rad na konkretnim projektima;Čitanje tuđeg koda;Pair programming / pomoć kolega;Knjige i skripte","Knjige i skripte","4","Poznavanje odgovarajuće  programske paradigme;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija","Logika programiranja krece iz C-a, treba ga detaljno nauciti","Vezbanje najjednostavnijij funkcija i kodova da steknem osecaj za sintaksu.",""
"2025/12/17 7:15:28 PM CET","Ženski","Da","181-240","Matematicki fakultet","Više od 4 godine","Povremeno (jednom godišnje)","Ne","Fakultetski kurs","3","2","3","2","4","3","4","5","Čitanje tuđeg koda;Pair programming / pomoć kolega;Knjige i skripte","Pair programming / pomoć kolega","4","Jednostavna sintaksa;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija","Sto vise prakticnog ucenja kroz konkretne zadatke","Obim prakticnih primera ",""
"2025/12/17 7:15:32 PM CET","Muški","Da","0-60","Matematički fakultet","Više od 4 godine","Često (više puta godišnje)","Da","Fakultetski kurs;Samostalno učenje;Projekat / praksa","1","1","1","1","2","2","1","5","Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Rad na konkretnim projektima;Knjige i skripte;w3schools, chatgpt","Rad na konkretnim projektima","5","Poznavanje odgovarajuće  programske paradigme;Jednostavna sintaksa;Sličnost sa poznatim jezicima","","",""
"2025/12/17 7:16:10 PM CET","Ženski","Da","61-120","Matematički fakultet ","Više od 4 godine","Često (više puta godišnje)","Da","Fakultetski kurs;Samostalno učenje","2","1","2","2","1","3","2","5","Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Pair programming / pomoć kolega;Knjige i skripte","Pair programming / pomoć kolega","5","Poznavanje odgovarajuće  programske paradigme;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija","Učenje u grupi","Kad uporedim sa jezicima koje vec znam",""
"2025/12/17 7:17:50 PM CET","Muški","Da","121-180","Matematički fakultet","Više od 4 godine","Često (više puta godišnje)","Da","Fakultetski kurs","3","2","3","3","2","3","3","4","Online kursevi (Coursera, Udemy, YouTube…);Čitanje tuđeg koda;Pair programming / pomoć kolega;Knjige i skripte","Knjige i skripte","4","Poznavanje odgovarajuće  programske paradigme;Jednostavna sintaksa;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija","","",""
"2025/12/17 7:18:32 PM CET","Ženski","Da","181-240","Matematički fakultet","Više od 4 godine","Često (više puta godišnje)","Da","Fakultetski kurs","2","1","3","2","3","3","3","4","Zvanična dokumentacija;Pair programming / pomoć kolega;Knjige i skripte","Knjige i skripte","5","Poznavanje odgovarajuće  programske paradigme;Jednostavna sintaksa;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija;Bogat ekosistem biblioteka","Da istraže koji su srodni jezici/jezici koji pripadaju istoj paradigmi i koje sličnosti imaju sa njima","Bogat sistem biblioteka, sličnost sa nekom poznatom paradigmom",""
"2025/12/17 7:19:58 PM CET","Muški","Da","121-180","MATF","Više od 4 godine","Često (više puta godišnje)","Da","Fakultetski kurs;Samostalno učenje;Projekat / praksa;Takmičenje","1","1","1","1","1","3","4","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Čitanje tuđeg koda;Pair programming / pomoć kolega;Knjige i skripte","Knjige i skripte","5","Poznavanje odgovarajuće  programske paradigme;Jednostavna sintaksa;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija","","",""
"2025/12/17 7:20:18 PM CET","Muški","Da","121-180","Matematicki","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs","4","3","4","4","5","4","2","2","Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Čitanje tuđeg koda;Pair programming / pomoć kolega","Pair programming / pomoć kolega","2","Jednostavna sintaksa;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija;Velika zajednica","/","/","/"
"2025/12/17 7:20:43 PM CET","Ženski","Da","121-180","Matematički fakultet","Više od 4 godine","Često (više puta godišnje)","Da","Fakultetski kurs","3","3","4","4","3","4","3","4","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Čitanje tuđeg koda;Pair programming / pomoć kolega;Knjige i skripte;Chatgpt","Knjige i skripte","3","Jednostavna sintaksa;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija","Da se raspitaju koja dokumentacija je najpotpunija, a onda prilagode sebi koja strategija im najvise odgovara","Sto vise vezbanja i rada u tom jeziku",""
"2025/12/17 7:21:22 PM CET","Muški","Da","0-60","MATF","3-4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Samostalno učenje;Projekat / praksa","2","1","2","3","2","3","4","5","Zvanična dokumentacija;Čitanje tuđeg koda","Zvanična dokumentacija","5","Kvalitetna dokumentacija;Velika zajednica;Bogat ekosistem biblioteka","Mali projekti, interaktivno učenje ","Gledanje kako neko kuca i prilagođavanje na taj način razmisljanja",""
"2025/12/17 7:23:08 PM CET","Ženski","Da","181-240","Matematički fakultet","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Projekat / praksa","2","1","2","1","3","3","3","5","Online kursevi (Coursera, Udemy, YouTube…);Rad na konkretnim projektima;Čitanje tuđeg koda;Knjige i skripte","Rad na konkretnim projektima","5","Poznavanje odgovarajuće  programske paradigme;Jednostavna sintaksa;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija;Velika zajednica","","",""
"2025/12/17 7:32:11 PM CET","Muški","Da","181-240","MATF","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Samostalno učenje;Projekat / praksa;Posao","3","2","2","2","2","3","4","4","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Rad na konkretnim projektima;Čitanje tuđeg koda","Čitanje tuđeg koda","5","Poznavanje odgovarajuće  programske paradigme;Kvalitetna dokumentacija;Velika zajednica;Bogat ekosistem biblioteka","","",""
"2025/12/17 7:32:35 PM CET","Muški","Da","61-120","MATF","Više od 4 godine","Retko (jednom u nekoliko godina)","Ne","Fakultetski kurs;Samostalno učenje","3","2","4","1","4","3","2","5","Online kursevi (Coursera, Udemy, YouTube…);Knjige i skripte","Online kursevi (Coursera, Udemy, YouTube…)","5","Poznavanje odgovarajuće  programske paradigme;Sličnost sa poznatim jezicima","","",""
"2025/12/17 7:35:22 PM CET","Ženski","Da","181-240","Tehnički fakultet ""Mihajlo Pupin""","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Samostalno učenje;Projekat / praksa","3","2","3","3","1","1","3","2","Online kursevi (Coursera, Udemy, YouTube…);Čitanje tuđeg koda;Pair programming / pomoć kolega","Online kursevi (Coursera, Udemy, YouTube…)","3","Sličnost sa poznatim jezicima","Početi od osnova, učiti redovno i odmah primenjivati znanje kroz male praktične zadatke.","Rad na konkretnim primerima i projektima, uz stalno eksperimentisanje i greške iz kojih se uči.","Doslednost i praksa su ključni za brzo i kvalitetno usvajanje novog jezika."
"2025/12/17 7:35:46 PM CET","Muški","Da","121-180","MATF","Više od 4 godine","Povremeno (jednom godišnje)","Da","Samostalno učenje","1","1","1","1","4","3","2","3","Rad na konkretnim projektima;Čitanje tuđeg koda","Rad na konkretnim projektima","3","Velika zajednica","programiraj samo ako ti nesto bas treba a ne mozes da nadjes gotov proizvod/tudji kod. Iz potrebe ce da se rodi brzina ucenja.","",""
"2025/12/17 7:35:57 PM CET","Ženski","Da","181-240","MATF","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Projekat / praksa;Posao","2","1","3","1","3","2","3","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Rad na konkretnim projektima;Čitanje tuđeg koda;Knjige i skripte","Online kursevi (Coursera, Udemy, YouTube…)","4","Kvalitetna dokumentacija;Velika zajednica","","Ne razmisljam o onim koje vec znam ",""
"2025/12/17 7:36:39 PM CET","Ženski","Da","0-60","Математички факултет","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Projekat / praksa;Takmičenje","2","1","3","2","2","3","1","5","Zvanična dokumentacija;Male samostalne vežbe;Rad na konkretnim projektima;Čitanje tuđeg koda","Rad na konkretnim projektima","5","Poznavanje odgovarajuće  programske paradigme;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija","Треба га повезивати са језицима који су познати и треба куцати што више кодова на почетку.","Рађење на конкретним пројектима и сагледавање примене",""
"2025/12/17 8:09:56 PM CET","Muški","Da","61-120","Matematički fakultet","1-2 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Samostalno učenje","3","1","5","1","4","5","2","3","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Rad na konkretnim projektima","Rad na konkretnim projektima","4","Poznavanje odgovarajuće  programske paradigme;Sličnost sa poznatim jezicima","Kucanje uporedo sa video tutorijalom, razumevanje napisanog i razmišljanje o drugačijem načinu implementacije određene funkcije.","Sličnost sintakse, programska paradigma, slični tipovi podataka.",""
"2025/12/17 8:27:24 PM CET","Muški","Da","181-240","Matematicki Fakultet","Više od 4 godine","Često (više puta godišnje)","Da","Fakultetski kurs;Samostalno učenje;Projekat / praksa;Posao","1","1","1","1","1","2","2","4","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Knjige i skripte","Male samostalne vežbe","5","Poznavanje odgovarajuće  programske paradigme;Jednostavna sintaksa;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija","Bacanje u vatru i rad na konkretnom projektu vise pomaze nego suvoparno ucenje sintakse ","Projekat",""
"2025/12/17 8:49:29 PM CET","Ženski","Da","181-240","Matematicki fakultet","1-2 godine","Povremeno (jednom godišnje)","Da","Samostalno učenje","3","3","4","4","3","1","3","5","Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe","Online kursevi (Coursera, Udemy, YouTube…)","5","Jednostavna sintaksa;Sličnost sa poznatim jezicima","Mini kodovi","Video zapisi",""
"2025/12/17 9:08:35 PM CET","Muški","Da","181-240","Matematicki fakultet","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs","3","2","3","1","2","2","1","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Rad na konkretnim projektima;Čitanje tuđeg koda;Pair programming / pomoć kolega;Knjige i skripte","Rad na konkretnim projektima","5","Poznavanje odgovarajuće  programske paradigme;Jednostavna sintaksa;Sličnost sa poznatim jezicima","Da se sedne i uci, dok se ne slegne sve. Nema drugog resenja nazalost :/","Indijac sa yt","Fina anketa, sto se mene tice polozili ste ;)"
"2025/12/17 9:12:43 PM CET","Ženski","Da","61-120","Matematicki","3-4 godine","Povremeno (jednom godišnje)","Ne","Fakultetski kurs;Samostalno učenje","3","1","3","2","3","3","3","3","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Čitanje tuđeg koda;Pair programming / pomoć kolega","Pair programming / pomoć kolega","5","Poznavanje odgovarajuće  programske paradigme;Jednostavna sintaksa;Kvalitetna dokumentacija","Trazite pomoc od kolega","",""
"2025/12/17 9:39:33 PM CET","Muški","Da","241-300","Matematički fakultet","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Posao","3","2","4","1","3","3","1","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Čitanje tuđeg koda;ChatGPT pomaže dosta","Online kursevi (Coursera, Udemy, YouTube…)","5","Sličnost sa poznatim jezicima;Kvalitetna dokumentacija;Velika zajednica","","",""
"2025/12/17 9:59:20 PM CET","Muški","Da","61-120","Matematički fakultet","3-4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs","2","2","2","3","1","2","3","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Knjige i skripte","Online kursevi (Coursera, Udemy, YouTube…)","5","Poznavanje odgovarajuće  programske paradigme;Jednostavna sintaksa;Sličnost sa poznatim jezicima","","",""
"2025/12/17 10:30:22 PM CET","Ženski","Da","241-300","Matematički fakultet","1-2 godine","Često (više puta godišnje)","Da","Fakultetski kurs;Samostalno učenje;Projekat / praksa;Posao","4","1","3","1","2","3","1","4","Zvanična dokumentacija;Rad na konkretnim projektima;Čitanje tuđeg koda;Pair programming / pomoć kolega","Čitanje tuđeg koda","5","Poznavanje odgovarajuće  programske paradigme;Sličnost sa poznatim jezicima;Velika zajednica","","",""
"2025/12/17 10:55:59 PM CET","Ne želim da se izjasnim","Ne, završio/la sam doktorske studije","","Matemaički fakultet","Manje od 1 godine","Povremeno (jednom godišnje)","Ne","Samostalno učenje","3","5","1","1","5","3","3","5","Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Čitanje tuđeg koda;Pair programming / pomoć kolega;Knjige i skripte;","Knjige i skripte","5","Jednostavna sintaksa;Sličnost sa poznatim jezicima","Gledajte tutorijale, radite osnovne primere(Hello world). ","Znaje iz prethodnih",""
"2025/12/17 10:58:03 PM CET","Ženski","Da","181-240","Matematički fakultet","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Samostalno učenje","1","1","3","1","2","2","1","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Čitanje tuđeg koda;Knjige i skripte","Online kursevi (Coursera, Udemy, YouTube…)","5","Poznavanje odgovarajuće  programske paradigme;Kvalitetna dokumentacija","Zadaci i vežba su najbitniji","Kraći zadaci u tom programskom jeziku",""
"2025/12/18 12:02:25 AM CET","Ženski","Da","181-240","Elektrotehnicki fakultet","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Samostalno učenje;Projekat / praksa;Posao","3","3","3","3","2","3","3","4","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Rad na konkretnim projektima;Čitanje tuđeg koda;Pair programming / pomoć kolega","Online kursevi (Coursera, Udemy, YouTube…)","4","Sličnost sa poznatim jezicima;Kvalitetna dokumentacija;Velika zajednica","Što više vežbe i samostalnog pisanja koda","Kucanje samog koda","Ova anketa je vrh 😁"
"2025/12/18 12:14:06 AM CET","Ženski","Da","61-120","Matematicki","3-4 godine","Često (više puta godišnje)","Ne","Fakultetski kurs","5","2","5","2","5","3","1","1","Zvanična dokumentacija;Čitanje tuđeg koda;Knjige i skripte","Male samostalne vežbe","5","Jednostavna sintaksa;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija","Da uce redovnk","Ne znam ",""
"2025/12/18 12:22:34 AM CET","Ženski","Da","121-180","Matf","1-2 godine","Povremeno (jednom godišnje)","Ne","Fakultetski kurs","3","1","2","4","4","5","3","5","Zvanična dokumentacija;Male samostalne vežbe;Rad na konkretnim projektima;Čitanje tuđeg koda","Knjige i skripte","5","Jednostavna sintaksa;Sličnost sa poznatim jezicima","Da se ne muce","To sto moram","👍🏼"
"2025/12/18 12:32:29 AM CET","Muški","Da","121-180","MATF","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Projekat / praksa;Posao","2","1","4","1","1","3","4","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Pair programming / pomoć kolega;Knjige i skripte","Pair programming / pomoć kolega","5","Poznavanje odgovarajuće  programske paradigme;Jednostavna sintaksa;Sličnost sa poznatim jezicima;Bogat ekosistem biblioteka","","",""
"2025/12/18 1:28:02 AM CET","Ženski","Da","121-180","Matematički fakultet","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Samostalno učenje","2","4","1","1","1","2","1","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Knjige i skripte","Online kursevi (Coursera, Udemy, YouTube…)","4","Poznavanje odgovarajuće  programske paradigme;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija","","",""
"2025/12/18 3:45:59 AM CET","Ne želim da se izjasnim","Da","181-240","matf","Više od 4 godine","Retko (jednom u nekoliko godina)","Da","Fakultetski kurs;Samostalno učenje;Projekat / praksa;Posao","3","2","3","3","1","4","4","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Rad na konkretnim projektima;Knjige i skripte","Knjige i skripte","5","Poznavanje odgovarajuće  programske paradigme;Jednostavna sintaksa;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija;Velika zajednica;Bogat ekosistem biblioteka","","",""
"2025/12/18 8:33:49 AM CET","Muški","Ne, završio/la sam master studije","","Mat","Više od 4 godine","Povremeno (jednom godišnje)","Da","Samostalno učenje;Projekat / praksa","2","1","1","2","3","3","2","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Rad na konkretnim projektima;Knjige i skripte","Knjige i skripte","5","Poznavanje odgovarajuće  programske paradigme;Sličnost sa poznatim jezicima","Stisni zube","Nzm","Nem"
"2025/12/18 10:07:25 AM CET","Muški","Da","61-120","Matematički fakultet u Beogradu ","3-4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Takmičenje","3","4","2","3","4","3","2","4","Online kursevi (Coursera, Udemy, YouTube…);Čitanje tuđeg koda","Online kursevi (Coursera, Udemy, YouTube…)","4","Jednostavna sintaksa;Sličnost sa poznatim jezicima;Velika zajednica","Učite jedan po jedan jezik, ne sve odjednom ","Online tutorijali ",""
"2025/12/18 12:06:12 PM CET","Ne želim da se izjasnim","Da","61-120","Matematički fakultet ","3-4 godine","Povremeno (jednom godišnje)","Ne","Fakultetski kurs;Posao","2","2","4","3","5","2","5","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Rad na konkretnim projektima;Pair programming / pomoć kolega;Knjige i skripte","Rad na konkretnim projektima","5","Poznavanje odgovarajuće  programske paradigme;Sličnost sa poznatim jezicima","","",""
"2025/12/18 12:40:34 PM CET","Muški","Da","0-60","Matematički fakultet ","1-2 godine","Retko (jednom u nekoliko godina)","Ne","Fakultetski kurs;Samostalno učenje","2","2","3","2","4","2","2","4","Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Rad na konkretnim projektima;Čitanje tuđeg koda","Čitanje tuđeg koda","4","Poznavanje odgovarajuće  programske paradigme;Jednostavna sintaksa;Sličnost sa poznatim jezicima","","",""
"2025/12/18 2:16:27 PM CET","Muški","Da","121-180","Matematicki fakultet","3-4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Samostalno učenje;Projekat / praksa;Posao","3","1","4","2","2","2","2","4","Zvanična dokumentacija;Rad na konkretnim projektima;Čitanje tuđeg koda;Pair programming / pomoć kolega","Rad na konkretnim projektima","5","Poznavanje odgovarajuće  programske paradigme;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija","Promenite profesiju","Iskustvo steceno prilikom rada sa nekim drugim jezicima.",""
"2025/12/18 3:08:46 PM CET","Muški","Da","181-240","Fakultet tehničkih nauka u Čačku","Više od 4 godine","Povremeno (jednom godišnje)","Ne","Fakultetski kurs;Samostalno učenje;Projekat / praksa;Takmičenje;Posao","3","2","3","1","3","2","2","5","Online kursevi (Coursera, Udemy, YouTube…);Rad na konkretnim projektima;Pair programming / pomoć kolega","Rad na konkretnim projektima","5","Poznavanje odgovarajuće  programske paradigme;Sličnost sa poznatim jezicima;Velika zajednica","Što pre krenuti sa radom na nekim projektima koji rešavaju neki problem iz realnog okruženja.","Rad na rešavanju nekih realnih problema, ili rad na nekom većem projektu.",""
"2025/12/18 3:49:42 PM CET","Ženski","Da","241-300","Matematicki fakultet","Više od 4 godine","Često (više puta godišnje)","Da","Fakultetski kurs","3","3","4","4","5","2","4","5","Online kursevi (Coursera, Udemy, YouTube…);Rad na konkretnim projektima;Pair programming / pomoć kolega","Online kursevi (Coursera, Udemy, YouTube…)","4","Poznavanje odgovarajuće  programske paradigme;Jednostavna sintaksa;Velika zajednica","Da ne slusaju druge.","Poznavanje slicnih pre toga",""
"2025/12/18 4:52:23 PM CET","Ženski","Da","181-240","Matematički fakultet ","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Samostalno učenje;Projekat / praksa","3","2","1","1","2","3","2","5","Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Čitanje tuđeg koda","Male samostalne vežbe","4","Sličnost sa poznatim jezicima;Kvalitetna dokumentacija","Vežbanje poznatih koncepata u novom jeziku ","Pisanje koda","

"
"2025/12/18 5:33:31 PM CET","Ženski","Da","241-300","MATF","3-4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Posao","1","1","2","3","3","3","5","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Čitanje tuđeg koda;Knjige i skripte","Male samostalne vežbe","5","Poznavanje odgovarajuće  programske paradigme;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija","Početi od teorijske osnovne, povući paralelu sa do sada poznatim jezicima, samostalno prekucavanje i kucanje.","Sve navedeno u prethodnom odgovoru.",""
"2025/12/18 11:06:28 PM CET","Ženski","Da","181-240","Matematički fakultet ","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Samostalno učenje","2","1","2","2","1","2","2","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Knjige i skripte","Rad na konkretnim projektima","5","Poznavanje odgovarajuće  programske paradigme;Kvalitetna dokumentacija","","",""
"2025/12/19 2:47:44 AM CET","Ženski","Da","181-240","","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Samostalno učenje","2","2","2","2","4","2","2","5","Zvanična dokumentacija;Male samostalne vežbe;Rad na konkretnim projektima","Zvanična dokumentacija","5","Poznavanje odgovarajuće  programske paradigme;Jednostavna sintaksa;Kvalitetna dokumentacija","","",""
"2025/12/19 7:21:49 AM CET","Muški","Da","181-240","Matematički fakultet","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Samostalno učenje;Projekat / praksa;Takmičenje;Posao","2","3","2","3","4","3","1","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Rad na konkretnim projektima;Čitanje tuđeg koda","Male samostalne vežbe","5","Poznavanje odgovarajuće  programske paradigme;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija;Velika zajednica","","",""
"2025/12/19 9:15:40 AM CET","Ženski","Da","121-180","Matematički fakultet","Više od 4 godine","Često (više puta godišnje)","Da","Fakultetski kurs;Takmičenje;Srednja škola","2","2","3","1","3","4","4","5","Zvanična dokumentacija;Rad na konkretnim projektima;Čitanje tuđeg koda;Pair programming / pomoć kolega;Knjige i skripte","Čitanje tuđeg koda","5","Poznavanje odgovarajuće  programske paradigme;Sličnost sa poznatim jezicima;Kvalitetna dokumentacija;Velika zajednica","","Najviše mi pomaže aktivan rad u tom jeziku sa nekim ciljem.",""
"2025/12/19 5:56:06 PM CET","Muški","Da","181-240","Matematički Fakultet","Više od 4 godine","Retko (jednom u nekoliko godina)","Da","Fakultetski kurs","1","2","2","2","3","3","1","5","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Knjige i skripte","Online kursevi (Coursera, Udemy, YouTube…)","5","Sličnost sa poznatim jezicima","Nemoj","Poznavanje drugih jezika",""
"2025/12/21 7:20:12 PM CET","Muški","Da","0-60","matf","Manje od 1 godine","Retko (jednom u nekoliko godina)","Da","Fakultetski kurs;Samostalno učenje","3","3","3","3","3","3","3","3","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe","Male samostalne vežbe","3","Sličnost sa poznatim jezicima","","",""
"2025/12/22 10:36:30 AM CET","Ženski","Da","241-300","Matf","Više od 4 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs;Projekat / praksa","2","1","3","1","2","1","1","4","Zvanična dokumentacija;Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Rad na konkretnim projektima;Pair programming / pomoć kolega;Knjige i skripte","Rad na konkretnim projektima","3","Velika zajednica","","",""
"2025/12/22 1:22:57 PM CET","Ženski","Da","61-120","Matematicki fakultet","1-2 godine","Povremeno (jednom godišnje)","Da","Fakultetski kurs","3","3","2","4","4","3","3","3","Online kursevi (Coursera, Udemy, YouTube…);Male samostalne vežbe;Rad na konkretnim projektima;Čitanje tuđeg koda","Online kursevi (Coursera, Udemy, YouTube…)","4","Poznavanje odgovarajuće  programske paradigme;Kvalitetna dokumentacija","","",""
